[0mPOST /api/v1/auth/login [33m400[0m 6.212 ms - 117[0m
::1 - - [17/Nov/2025:11:14:49 +0000] "OPTIONS /api/v1/auth/active_user HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:14:49 +0000] "POST /api/v1/auth/active_user HTTP/1.1" 400 52 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:14:57 +0000] "OPTIONS /api/v1/auth/active_user HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:14:57 +0000] "POST /api/v1/auth/active_user HTTP/1.1" 400 52 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:14:58 +0000] "POST /api/v1/auth/active_user HTTP/1.1" 400 52 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:15:08 +0000] "POST /api/v1/auth/signup HTTP/1.1" 200 72 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:11:15:20 +0000] "OPTIONS /api/v1/auth/active_user HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:15:20 +0000] "POST /api/v1/auth/active_user HTTP/1.1" 200 60 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:15:52 +0000] "OPTIONS /api/v1/auth/login HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:15:52 +0000] "POST /api/v1/auth/login HTTP/1.1" 500 92 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:16:11 +0000] "POST /api/v1/auth/login HTTP/1.1" 500 92 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:11:16:54 +0000] "POST /api/v1/auth/login HTTP/1.1" 500 92 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:11:18:20 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 354 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:11:18:24 +0000] "OPTIONS /api/v1/auth/login HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:11:18:25 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 354 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:12:28:14 +0000] "POST /api/v1/auth/signup HTTP/1.1" 200 72 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:12:28:18 +0000] "POST /api/v1/auth/login HTTP/1.1" 400 71 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:12:28:52 +0000] "POST /api/v1/auth/login HTTP/1.1" 400 71 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:12:29:23 +0000] "OPTIONS /api/v1/auth/active_user HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:12:29:23 +0000] "POST /api/v1/auth/active_user HTTP/1.1" 200 60 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [17/Nov/2025:12:29:29 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 354 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:17:45:41 +0000] "GET /api/v1/gatecories HTTP/1.1" 404 156 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:17:53:56 +0000] "GET /api/v1/gatecories HTTP/1.1" 404 156 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:17:54:27 +0000] "GET /api/v1/categories HTTP/1.1" 200 1668 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:17:56:13 +0000] "POST /api/v1/categories HTTP/1.1" 400 58 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:17:56:18 +0000] "POST /api/v1/categories HTTP/1.1" 400 58 "-" "PostmanRuntime/7.49.1"
::1 - - [17/Nov/2025:17:56:30 +0000] "POST /api/v1/categories HTTP/1.1" 400 58 "-" "PostmanRuntime/7.49.1"
